date,price,open,high,low,change %
05/11/2021,1835.9,1837.2,1838.1,1831.6,-0.09%
05/10/2021,1837.5,1835.6,1845.6,1835.4,0.35%
05/07/2021,1831.1,1842.9,1842.9,1831.1,0.86%
05/06/2021,1815.5,1788.9,1815.5,1787.6,1.76%
05/05/2021,1784.1,1781.5,1784.1,1779.2,0.47%
05/04/2021,1775.8,1788.2,1788.5,1774.8,-0.87%
05/03/2021,1791.4,1788.5,1793.0,1788.5,1.36%
04/30/2021,1767.3,1771.8,1771.8,1763.9,-0.05%
04/29/2021,1768.1,1781.0,1789.0,1758.6,-0.29%
04/28/2021,1773.2,1768.2,1774.0,1764.6,-0.27%
04/27/2021,1778.0,1780.0,1782.0,1777.7,-0.07%
04/26/2021,1779.2,1778.0,1779.7,1770.8,0.12%
04/23/2021,1777.0,1786.1,1794.5,1772.0,-0.24%
04/22/2021,1781.2,1794.2,1794.2,1779.5,-0.62%
04/21/2021,1792.3,1783.0,1794.1,1777.7,0.84%
04/20/2021,1777.3,1769.3,1777.3,1765.5,0.45%
04/19/2021,1769.4,1782.1,1788.5,1769.4,-0.54%
04/16/2021,1779.0,1770.4,1779.5,1770.1,0.77%
04/15/2021,1765.4,1740.1,1767.9,1740.1,1.76%
04/14/2021,1734.9,1741.3,1745.9,1732.7,-0.65%
04/13/2021,1746.2,1733.8,1746.9,1722.1,0.87%
04/12/2021,1731.2,1740.8,1740.8,1726.7,-0.69%
04/09/2021,1743.3,1750.8,1750.8,1733.3,-0.77%
04/08/2021,1756.8,1736.0,1758.0,1734.6,0.96%
04/07/2021,1740.1,1742.7,1742.7,1733.7,-0.08%
04/06/2021,1741.5,1726.9,1744.8,1726.9,0.84%
04/05/2021,1727.0,1727.9,1729.7,1721.9,0.03%
04/01/2021,1726.5,1706.8,1728.8,1706.4,0.74%
03/31/2021,1713.8,1683.7,1713.8,1676.5,1.78%
03/30/2021,1683.9,1711.0,1712.6,1676.5,-1.65%
03/29/2021,1712.1,1712.1,1712.1,1712.1,-1.16%
03/26/2021,1732.2,1721.3,1732.2,1721.3,0.42%
03/25/2021,1724.9,1732.7,1733.2,1724.5,-0.46%
03/24/2021,1732.9,1727.5,1732.9,1727.5,0.48%
03/23/2021,1724.7,1724.7,1724.7,1724.7,-0.75%
03/22/2021,1737.8,1737.8,1737.8,1737.8,-0.21%
03/19/2021,1741.4,1742.2,1742.2,1733.6,0.53%
03/18/2021,1732.2,1745.8,1750.3,1721.8,0.31%
03/17/2021,1726.8,1735.3,1750.1,1725.6,-0.22%
03/16/2021,1730.6,1732.3,1733.9,1726.0,0.10%
03/15/2021,1728.9,1729.5,1731.9,1722.8,0.55%
03/12/2021,1719.5,1715.9,1722.5,1699.0,-0.16%
03/11/2021,1722.3,1725.6,1737.5,1720.2,0.05%
03/10/2021,1721.5,1713.6,1722.9,1711.0,0.29%
03/09/2021,1716.6,1686.2,1717.5,1685.2,2.32%
03/08/2021,1677.7,1704.7,1705.4,1673.7,-1.20%
